,count,ratio
1.1.1,35,0.813953488372093
1.2.1,0,0.0
1.2.2,0,0.0
1.2.3,0,0.0
1.2.4,0,0.0
1.2.5,0,0.0
1.3.1,7,0.16279069767441862
1.3.2,0,0.0
1.3.3,0,0.0
1.4.1,0,0.0
1.4.2,0,0.0
1.4.3,0,0.0
1.4.4,8,0.18604651162790697
1.4.5,0,0.0
2.1.1,0,0.0
2.1.2,0,0.0
2.2.1,0,0.0
2.2.2,0,0.0
2.3.1,0,0.0
2.4.1,19,0.4418604651162791
2.4.2,0,0.0
2.4.3,0,0.0
2.4.4,23,0.5348837209302325
2.4.5,0,0.0
2.4.6,0,0.0
2.4.7,0,0.0
3.1.1,9,0.20930232558139536
3.1.2,0,0.0
3.2.1,0,0.0
3.2.2,0,0.0
3.2.3,0,0.0
3.2.4,0,0.0
3.3.1,0,0.0
3.3.2,5,0.11627906976744186
3.3.3,0,0.0
3.3.4,0,0.0
4.1.1,8,0.18604651162790697
4.1.2,18,0.4186046511627907
