"種別","知覚可能","操作可能","理解可能","堅ろう（牢）","JIS","ガイドライン(ヘルプ)","達成方法","達成方法(ヘルプ)","行番号","内容"
"問題あり","-5","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H2","http://waic.jp/docs/WCAG-TECHS/H2.html","326, 326","同一テキストの繰り返しがあります： ""[60th 2019年5月20日に財団設立60周年を迎えました]"" & ""[60th 2019年5月20日に財団設立60周年を迎えました]"""
"問題あり","-5","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H2","http://waic.jp/docs/WCAG-TECHS/H2.html","327, 327","同一テキストの繰り返しがあります： ""[頼れる医師 安心・安全な医療体制]"" & ""[頼れる医師 安心・安全な医療体制]"""
"問題あり","-5","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H2","http://waic.jp/docs/WCAG-TECHS/H2.html","328, 328","同一テキストの繰り返しがあります： ""[人にやさしい医療を目指して]"" & ""[人にやさしい医療を目指して]"""
"問題あり","-5","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H2","http://waic.jp/docs/WCAG-TECHS/H2.html","329, 329","同一テキストの繰り返しがあります： ""[共感と 思いやりの心で 看護を]"" & ""[共感と 思いやりの心で 看護を]"""
"問題あり","-5","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H2","http://waic.jp/docs/WCAG-TECHS/H2.html","330, 330","同一テキストの繰り返しがあります： ""[臨床医学に立脚した研究を推進し、最良の医療を提供します]"" & ""[臨床医学に立脚した研究を推進し、最良の医療を提供します]"""
"問題あり","-5","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H2","http://waic.jp/docs/WCAG-TECHS/H2.html","483","同一テキストの繰り返しがあります： ""調達案件のお知らせ(隔離陰圧ユニットの設置)"" & ""[調達案件のお知らせ(隔離陰圧ユニットの設置)]"""
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G1","http://waic.jp/docs/WCAG-TECHS/G1.html","","""本文へ移動""などのスキップリンクを提供してください　（本文へジャンプ、本文へのリンク等）"
"要判断箇所","0","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H45","http://waic.jp/docs/WCAG-TECHS/H45.html","326, 326, 327, 327, 329, 329, 330, 330, 483, 647, 648","画像の機能や情報がalt属性で十分に伝達できない場合、longdesc属性を用いて詳細な情報を提供してください"
"手動確認","0","0","0","0","A: 4.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-parses.html","G134, G192","http://waic.jp/docs/WCAG-TECHS/G134.html, http://waic.jp/docs/WCAG-TECHS/G192.html","","このウェブページをバリデータまたはパーサを使用してバリデートしてください。もし可能であれば、ページを仕様に完全に準拠させることを検討してください。"
"要判断箇所","0","0","0","0","A: 3.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/meaning-doc-lang-id.html","H57","http://waic.jp/docs/WCAG-TECHS/H57.html","2","(lang=ja)がそのウェブページで主に使われている言語を反映していることを確認して下さい"
"問題あり","0","-5","0","-5","A: 2.4.1, A: 4.1.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-rsv.html","H64","http://waic.jp/docs/WCAG-TECHS/H64.html","437","iframe要素にtitle属性がありません。iframe要素には、フレームの内容を説明するための空でないtitle属性を提供してください。: src=https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3241.7330018542857!2d139.72503731561162!3d35.658949338800355!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b76d6228f39%3A0x1398f62966402e02!2z5b-D6IeT6KGA566h56CU56m25omA5LuY5bGe55eF6Zmi!5e0!3m2!1sja!2sjp!4v1566350361402!5m2!1sja!2sjp"
"要判断箇所","0","0","0","0","A: 1.3.1, A: 3.3.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-programmatic.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html","H71","http://waic.jp/docs/WCAG-TECHS/H71.html","116, 226","もし、関連するフォーム・コントロールのグループが複数存在するなら、fieldsetを用いてグループを明示してください"
"問題あり","0","-2","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","355","このリンク内には読み上げ可能なテキストが存在しないため、アクセシブルではありません。 (href=""http://www.ncvc.go.jp/"")"
"問題あり","0","-2","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","362","このリンク内には読み上げ可能なテキストが存在しないため、アクセシブルではありません。 (href=""https://www.cvi.or.jp/shinzou-rihabiri_media/index.html"")"
"要判断箇所","0","0","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","G91","http://waic.jp/docs/WCAG-TECHS/G91.html","355, 362","異なる複数のURLへのリンクに、同一のテキストを用いることはなるべく避けてください。 (linktext="" "")"
"要判断箇所","0","0","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","G91","http://waic.jp/docs/WCAG-TECHS/G91.html","165, 579","異なる複数のURLへのリンクに、同一のテキストを用いることはなるべく避けてください。 (linktext=""初診の方 "")"
"要判断箇所","0","0","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","G91","http://waic.jp/docs/WCAG-TECHS/G91.html","127, 287","異なる複数のURLへのリンクに、同一のテキストを用いることはなるべく避けてください。 (linktext=""初診の方はこちら "")"
"要判断箇所","0","0","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","G91","http://waic.jp/docs/WCAG-TECHS/G91.html","470, 478, 485","異なる複数のURLへのリンクに、同一のテキストを用いることはなるべく避けてください。 (linktext=""過去のお知らせ "")"
"要判断箇所","0","0","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","G91","http://waic.jp/docs/WCAG-TECHS/G91.html","472, 479","異なる複数のURLへのリンクに、同一のテキストを用いることはなるべく避けてください。 (linktext=""「経カテーテル的大動脈弁置換術（TAVI）」を開始しました。 "")"
"手動確認","0","0","0","0","A: 1.3.2, A: 1.3.1, AA: 1.4.5","http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-sequence.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-programmatic.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-text-presentation.html","C6, G140","http://waic.jp/docs/WCAG-TECHS/C6.html, http://waic.jp/docs/WCAG-TECHS/G140.html","25","HTML文書は、スタイルシートを無効にしても読んだり利用したり出来るようにデザインしてください (スタイルシートを利用するためのlink要素が存在しています)"
"手動確認","0","0","0","0","A: 1.3.2, A: 1.3.1, AA: 1.4.5","http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-sequence.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-programmatic.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-text-presentation.html","C6, G140","http://waic.jp/docs/WCAG-TECHS/C6.html, http://waic.jp/docs/WCAG-TECHS/G140.html","43, 387","HTML文書は、スタイルシートを無効にしても読んだり利用したり出来るようにデザインしてください (style要素が存在しています)"
"手動確認","0","0","0","0","A: 2.4.1, A: 1.3.1, AA: 1.4.5","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-programmatic.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-text-presentation.html","C6, G140","http://waic.jp/docs/WCAG-TECHS/C6.html, http://waic.jp/docs/WCAG-TECHS/G140.html","282, 287, 309, 339, 435, 436, 437, 619, 634","HTML文書は、スタイルシートを無効にしても読んだり利用したり出来るようにデザインしてください (style属性を持つ要素が存在しています)"
"要判断箇所","0","0","0","0","A: 3.3.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html","G184","http://waic.jp/docs/WCAG-TECHS/G184.html","117, 227","必要とされる入力フォーマット（全角・半角、ハイフンの利用）を説明するテキストが、フォームまたはテキスト・フィールド一式の前に記載されているか確認してください"
"要判断箇所","0","0","0","0","A: 1.1.1, A: 1.3.1, A: 4.1.2, A: 3.3.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-programmatic.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-rsv.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html","G167, H44, H65","http://waic.jp/docs/WCAG-TECHS/G167.html, http://waic.jp/docs/WCAG-TECHS/H44.html, http://waic.jp/docs/WCAG-TECHS/H65.html","117, 117","隣接するボタンを用いてテキスト・フィールドをラベル付けしている可能性があります。これらが隣接して表示されていることを確認してください。また、label要素やtitle属性を用いてラベル付けすることを検討してください。"
"要判断箇所","0","0","0","0","A: 1.1.1, A: 1.3.1, A: 4.1.2, A: 3.3.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-programmatic.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-rsv.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html","G167, H44, H65","http://waic.jp/docs/WCAG-TECHS/G167.html, http://waic.jp/docs/WCAG-TECHS/H44.html, http://waic.jp/docs/WCAG-TECHS/H65.html","227, 227","隣接するボタンを用いてテキスト・フィールドをラベル付けしている可能性があります。これらが隣接して表示されていることを確認してください。また、label要素やtitle属性を用いてラベル付けすることを検討してください。"
"要判断箇所","0","0","0","0","A: 3.3.1, AA: 3.3.3, AA: 3.3.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-identified.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-suggestions.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-reversible.html","SCR18","http://waic.jp/docs/WCAG-TECHS/SCR18.html","116, 226","クライアントサイドのバリデーション及びアラートを提供していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 3.3.1, AA: 3.3.3","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-identified.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-suggestions.html","G84","http://waic.jp/docs/WCAG-TECHS/G84.html","116, 226","利用者が認められた値以外の情報を提供した際に、テキストの説明文を提供していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 3.3.1, AA: 3.3.3","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-identified.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-suggestions.html","G85","http://waic.jp/docs/WCAG-TECHS/G85.html","116, 226","利用者の入力が要求されたフォーマット又は値ではなかった際に、テキストの説明文を提供していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 3.3.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html","G89","http://waic.jp/docs/WCAG-TECHS/G89.html","116, 226","所定のデータ書式及び入力例を提供していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 3.2.2, A: 3.3.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/consistent-behavior-unpredictable-change.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html","G13","http://waic.jp/docs/WCAG-TECHS/G13.html","116, 226","状況の変化を引き起こすフォームのコントロールが変化する前に、何が起こるのかを説明していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 3.3.1, A: 3.3.2, AA: 3.3.3","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-identified.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-suggestions.html","G83","http://waic.jp/docs/WCAG-TECHS/G83.html","116, 226","入力が完了していない必須項目を特定するために、テキストの説明文を提供していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 3.3.1, AA: 3.3.3","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-identified.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-suggestions.html","SCR32","http://waic.jp/docs/WCAG-TECHS/SCR32.html","116, 226","クライアントサイドのバリデーションを提供し、DOMを介してエラーテキストを追加していることを確認して下さい"
"要判断箇所","0","0","0","0","AA: 2.4.6, A: 3.3.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-descriptive.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-cues.html","G131, H90","http://waic.jp/docs/WCAG-TECHS/G131.html, http://waic.jp/docs/WCAG-TECHS/H90.html","116, 226","目的や内容が分かるラベルを提供していることを確認して下さい"
"要判断箇所","0","0","0","0","AA: 1.4.3, A: 1.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-contrast.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-without-color.html","F24, G14, G18, G145, G182, G205","http://waic.jp/docs/WCAG-TECHS/F24.html, http://waic.jp/docs/WCAG-TECHS/G14.html, http://waic.jp/docs/WCAG-TECHS/G145.html, http://waic.jp/docs/WCAG-TECHS/G18.html, http://waic.jp/docs/WCAG-TECHS/G182.html, http://www.w3.org/TR/WCAG20-TECHS/G205.html","282","背景色のみが指定されている可能性があります。十分なコントラスト比となる文字色を指定するようにして下さい。 また、もし配色に何らかの情報を持たせている場合、テキストや他の視覚的な表現からもその情報を取得できるよう配慮してください。(background: #d74724;) "
"要判断箇所","0","0","0","0","AA: 1.4.3, A: 1.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-contrast.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-without-color.html","F24, G14, G18, G145, G182, G205","http://waic.jp/docs/WCAG-TECHS/F24.html, http://waic.jp/docs/WCAG-TECHS/G14.html, http://waic.jp/docs/WCAG-TECHS/G145.html, http://waic.jp/docs/WCAG-TECHS/G18.html, http://waic.jp/docs/WCAG-TECHS/G182.html, http://www.w3.org/TR/WCAG20-TECHS/G205.html","309","背景色のみが指定されている可能性があります。十分なコントラスト比となる文字色を指定するようにして下さい。 また、もし配色に何らかの情報を持たせている場合、テキストや他の視覚的な表現からもその情報を取得できるよう配慮してください。(background: #fff;) "
"要判断箇所","0","0","0","0","AA: 1.4.3, A: 1.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-contrast.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-without-color.html","F24, G14, G18, G145, G182, G205","http://waic.jp/docs/WCAG-TECHS/F24.html, http://waic.jp/docs/WCAG-TECHS/G14.html, http://waic.jp/docs/WCAG-TECHS/G145.html, http://waic.jp/docs/WCAG-TECHS/G18.html, http://waic.jp/docs/WCAG-TECHS/G182.html, http://www.w3.org/TR/WCAG20-TECHS/G205.html","339","背景色のみが指定されている可能性があります。十分なコントラスト比となる文字色を指定するようにして下さい。 また、もし配色に何らかの情報を持たせている場合、テキストや他の視覚的な表現からもその情報を取得できるよう配慮してください。(background: #fff;) "
"要判断箇所","0","0","0","0","A: 2.1.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/keyboard-operation-trapping.html","G21","http://waic.jp/docs/WCAG-TECHS/G21.html","","ユーザーがコンテンツ内に閉じ込められないこと確認してください。(JavaScript)"
"手動確認","0","0","0","0","AA: 3.2.3","http://waic.jp/docs/UNDERSTANDING-WCAG20/consistent-behavior-consistent-locations.html","G61","http://waic.jp/docs/WCAG-TECHS/G61.html","","サイト内で統一したナビゲーションを提供していることを確認してください"
"手動確認","0","0","0","0","AA: 3.2.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/consistent-behavior-consistent-functionality.html","G197","http://waic.jp/docs/WCAG-TECHS/G197.html","","情報提示のスタイルが統一されているか確認してください"
"手動確認","0","0","0","0","AA: 3.3.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/minimize-error-reversible.html","G98, G99, G155, G164, G168","http://waic.jp/docs/WCAG-TECHS/G155.html, http://waic.jp/docs/WCAG-TECHS/G164.html, http://waic.jp/docs/WCAG-TECHS/G168.html, http://waic.jp/docs/WCAG-TECHS/G98.html, http://waic.jp/docs/WCAG-TECHS/G99.html","","ユーザが操作を誤った場合でも、元の状態に戻すことが出来る手段が提供されていることを確認してください"
"手動確認","0","0","0","0","A: 1.3.3","http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-understanding.html","G96","http://waic.jp/docs/WCAG-TECHS/G96.html","","ページの内容を理解・操作するために必要な情報が、コンテンツの形や位置だけに依存していないか確認してください"
"手動確認","0","0","0","0","A: 4.1.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-rsv.html","G135","http://waic.jp/docs/WCAG-TECHS/G135.html","","ウェブコンテンツ技術のアクセシビリティAPIを用いて、名前及び役割をUAに提供し、利用者が設定可能なプロパティを直接設定可能にし、変化を通知していることを確認して下さい"
"手動確認","0","0","0","0","A: 4.1.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-rsv.html","G10","http://waic.jp/docs/WCAG-TECHS/G10.html","","識別名及び役割を取得し、利用者が設定可能なプロパティを直接設定可能にし、変化を通知するためにユーザーエージェントが動作する、プラットフォームのアクセシビリティAPI機能をサポートするウェブコンテンツ技術を用いて、コンポーネントを作成していることを確認して下さい"
"手動確認","0","0","0","0","A: 4.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-parses.html","H75","http://waic.jp/docs/WCAG-TECHS/H75.html","","ウェブページに含まれる、XMLベースのマークアップ言語(XHTML, SVG, SMILなど)で記述されたすべてのコンテンツに対して、それらが整形式のXML文書であることを確認して下さい。"
"手動確認","0","0","0","0","A: 4.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-parses.html","H88","http://waic.jp/docs/WCAG-TECHS/H88.html","","可能であれば、完全に仕様に準じてHTMLを用いることを検討してください。"
"手動確認","0","0","0","0","AA: 1.4.3","http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-contrast.html","G18, G145, G148, G174","http://waic.jp/docs/WCAG-TECHS/G145.html, http://waic.jp/docs/WCAG-TECHS/G148.html, http://waic.jp/docs/WCAG-TECHS/G174.html, http://waic.jp/docs/WCAG-TECHS/G18.html","","テキスト及び画像化された文字の視覚的な表現には、十分なコントラスト比をもたせていることをロービジョンモードを使用して確認して下さい （次の場合を除く： 大きな文字、付随的、ロゴタイプ）"
"手動確認","0","0","0","0","AA: 1.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/visual-audio-contrast-scale.html","C28, G142, G146, G178, G179, SCR34","http://waic.jp/docs/WCAG-TECHS/C28.html, http://waic.jp/docs/WCAG-TECHS/G142.html, http://waic.jp/docs/WCAG-TECHS/G146.html, http://waic.jp/docs/WCAG-TECHS/G178.html, http://waic.jp/docs/WCAG-TECHS/G179.html, http://waic.jp/docs/WCAG-TECHS/SCR34.html","","キャプション及び画像化された文字を除き、コンテンツ又は機能を損なうことなく、テキストを支援技術なしで 200％ までサイズ変更できることを確認して下さい。"
