"種別","知覚可能","操作可能","理解可能","堅ろう（牢）","JIS","ガイドライン(ヘルプ)","達成方法","達成方法(ヘルプ)","行番号","内容"
"問題あり","-5","0","0","0","A: 1.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html","H2","http://waic.jp/docs/WCAG-TECHS/H2.html","290","同一テキストの繰り返しがあります： ""ダウンロード"" & ""[ダウンロード]"""
"問題の可能性大","0","-2","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G1","http://waic.jp/docs/WCAG-TECHS/G1.html","","""本文へ移動""などのスキップリンクの提供を検討して下さい"
"手動確認","0","0","0","0","A: 4.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/ensure-compat-parses.html","G134, G192","http://waic.jp/docs/WCAG-TECHS/G134.html, http://waic.jp/docs/WCAG-TECHS/G192.html","","このウェブページをバリデータまたはパーサを使用してバリデートしてください。もし可能であれば、ページを仕様に完全に準拠させることを検討してください。"
"要判断箇所","0","0","0","0","A: 1.3.1, AA: 2.4.6","http://waic.jp/docs/UNDERSTANDING-WCAG20/content-structure-separation-programmatic.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-descriptive.html","G130, H42","http://waic.jp/docs/WCAG-TECHS/G130.html, http://waic.jp/docs/WCAG-TECHS/H42.html","182, 243, 248, 323, 342, 356, 370, 412, 418, 424, 424, 431, 437, 464, 503, 509, 528, 559, 590","各見出し(h1,h2…)はページ中の対応するセクションを表す内容になっており、テキストを太字にするためだけの目的に利用されていないことを確認してください。"
"要判断箇所","0","0","0","0","A: 3.1.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/meaning-doc-lang-id.html","H57","http://waic.jp/docs/WCAG-TECHS/H57.html","2","(lang=ja-JP)がそのウェブページで主に使われている言語を反映していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 2.2.2","http://waic.jp/docs/UNDERSTANDING-WCAG20/time-limits-pause.html","G152","http://waic.jp/docs/WCAG-TECHS/G152.html","90","もしこのGIF画像がアニメーションGIFであるなら、高速な動きや明滅を含まないことを確認してください。"
"問題あり","0","-2","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","90","このリンク内には読み上げ可能なテキストが存在しないため、アクセシブルではありません。 (href=""https://www.tohtobunkyo-hp.com/"")"
"問題あり","0","-2","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","626","このリンク内には読み上げ可能なテキストが存在しないため、アクセシブルではありません。 (href=""/採用情報/"")"
"要判断箇所","0","0","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H33","http://waic.jp/docs/WCAG-TECHS/H33.html","155","リンクテキストとtitle属性の値 (""FAQ（よくあるご質問）"") を合わせて、リンクの目的を適切に示していることを確認して下さい"
"要判断箇所","0","0","0","0","A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H33","http://waic.jp/docs/WCAG-TECHS/H33.html","166","リンクテキストとtitle属性の値 (""https://www.google.com/maps/place/〒113-0034+東京都文京区湯島３丁目５%E2%88%92７/@35.7042048,139.7656603,17z/data=!3m1!4b1!4m5!3m4!1s0x60188c1f4cbeb3bd:0x6d0dde4a3fa058de!8m2!3d35.7042048!4d139.767849"") を合わせて、リンクの目的を適切に示していることを確認して下さい"
