"種別","知覚可能","操作可能","理解可能","堅ろう（牢）","JIS","ガイドライン(ヘルプ)","達成方法","達成方法(ヘルプ)","行番号","内容"
"問題あり","-5","-5","0","0","A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","861","ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
"問題あり","-5","-5","0","0","A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","1205","ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
"問題あり","-5","-5","0","0","A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","1349","ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
"問題あり","-5","-5","0","0","A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","2211","ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
"問題あり","-5","-5","0","0","A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html","H30","http://waic.jp/docs/WCAG-TECHS/H30.html","2214","ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","97","このページ内リンクは、ジャンプ先のアンカー""customer""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","98","このページ内リンクは、ジャンプ先のアンカー""business""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","99","このページ内リンクは、ジャンプ先のアンカー""recruit""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","465","このページ内リンクは、ジャンプ先のアンカー""komariPanel1""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","466","このページ内リンクは、ジャンプ先のアンカー""komariPanel2""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","467","このページ内リンクは、ジャンプ先のアンカー""komariPanel3""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","469","このページ内リンクは、ジャンプ先のアンカー""komarication""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","742","このページ内リンクは、ジャンプ先のアンカー""customer""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","750","このページ内リンクは、ジャンプ先のアンカー""customer""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","758","このページ内リンクは、ジャンプ先のアンカー""customer""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","777","このページ内リンクは、ジャンプ先のアンカー""customer""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","779","このページ内リンクは、ジャンプ先のアンカー""visitor""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","780","このページ内リンクは、ジャンプ先のアンカー""department""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","781","このページ内リンクは、ジャンプ先のアンカー""priority""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","782","このページ内リンクは、ジャンプ先のアンカー""outnursing""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","783","このページ内リンクは、ジャンプ先のアンカー""hospitalization""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","784","このページ内リンクは、ジャンプ先のアンカー""register""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","785","このページ内リンクは、ジャンプ先のアンカー""about""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","786","このページ内リンクは、ジャンプ先のアンカー""exam""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","787","このページ内リンクは、ジャンプ先のアンカー""better""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","791","このページ内リンクは、ジャンプ先のアンカー""business""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","796","このページ内リンクは、ジャンプ先のアンカー""recruit""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","803","このページ内リンクは、ジャンプ先のアンカー""business""が存在しないため利用できません"
"問題あり","0","-5","0","0","A: 2.4.1","http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-skip.html","G123, G124","http://waic.jp/docs/WCAG-TECHS/G123.html, http://waic.jp/docs/WCAG-TECHS/G124.html","805","このページ内リンクは、ジャンプ先のアンカー""collabo""が存在しないため利用できません"
